type	Var1	Var2	value
CRC	H3K27me3	CEMT_52	-0.537364650260412
CRC	H3K36me3	CEMT_52	0.0320695677361509
CRC	H3K27ac	CEMT_52	0.687487210559113
CRC	H3K4me1	CEMT_53	0.154841925116322
CRC	H3K4me3	CEMT_53	0.663468991094653
CRC	H3K9me3	CEMT_53	-0.345260828416087
CRC	H3K27me3	CEMT_53	-0.540552260901503
CRC	H3K36me3	CEMT_53	0.0827344233705602
CRC	H3K27ac	CEMT_53	0.68655395327593
CRC	H3K4me1	CEMT_54	0.0980267931988086
CRC	H3K4me3	CEMT_54	0.667341198786055
CRC	H3K9me3	CEMT_54	-0.459223107377271
CRC	H3K27me3	CEMT_54	-0.557943362472151
CRC	H3K36me3	CEMT_54	-0.140117265345046
CRC	H3K27ac	CEMT_54	0.698013328727784
CRC	H3K4me1	CEMT_55	0.0796268455108784
CRC	H3K4me3	CEMT_55	0.663351196673072
CRC	H3K9me3	CEMT_55	-0.485298727551892
CRC	H3K27me3	CEMT_55	-0.611533051360332
CRC	H3K36me3	CEMT_55	-0.333331490393361
CRC	H3K27ac	CEMT_55	0.718665870456592
CRC	H3K4me1	CEMT_56	0.146287381590027
CRC	H3K4me3	CEMT_56	0.683662308954064
CRC	H3K9me3	CEMT_56	-0.493400399613834
CRC	H3K27me3	CEMT_56	-0.616859564130806
CRC	H3K36me3	CEMT_56	-0.216374258803918
CRC	H3K27ac	CEMT_56	0.725248089905624
CRC	H3K4me1	CEMT_57	0.170957103833751
CRC	H3K4me3	CEMT_57	0.651811476233236
CRC	H3K9me3	CEMT_57	-0.448759284846432
CRC	H3K27me3	CEMT_57	-0.539118475228082
CRC	H3K36me3	CEMT_57	-0.0340660965846247
CRC	H3K27ac	CEMT_57	0.674054985989699
CRC	H3K4me1	CEMT_58	0.160388866804648
CRC	H3K4me3	CEMT_58	0.686038992947846
CRC	H3K9me3	CEMT_58	-0.385104116565636
CRC	H3K27me3	CEMT_58	-0.564920839783841
CRC	H3K36me3	CEMT_58	0.141313457719158
CRC	H3K27ac	CEMT_58	0.717087787971862
CRC	H3K4me1	CEMT_59	0.156575440742391
CRC	H3K4me3	CEMT_59	0.648162179238234
CRC	H3K9me3	CEMT_59	-0.319932356943221
CRC	H3K27me3	CEMT_59	-0.55497427746978
CRC	H3K36me3	CEMT_59	0.0746369227423483
CRC	H3K27ac	CEMT_59	0.69155170898042
CRC	H3K4me1	CEMT_60	0.122075559622494
CRC	H3K4me3	CEMT_60	0.672972578614663
CRC	H3K9me3	CEMT_60	-0.451618618639892
CRC	H3K27me3	CEMT_60	-0.591865655716083
CRC	H3K36me3	CEMT_60	-0.151617256807824
CRC	H3K27ac	CEMT_60	0.706615904863437
CRC	H3K4me1	CEMT_61	0.113949380522429
CRC	H3K4me3	CEMT_61	0.680531822346377
CRC	H3K9me3	CEMT_61	-0.423914006542357
CRC	H3K27me3	CEMT_61	-0.609150257231704
CRC	H3K36me3	CEMT_61	-0.125145348499214
CRC	H3K27ac	CEMT_61	0.6966443968106
CRC	H3K4me1	CEMT_72	0.101457182623741
CRC	H3K4me3	CEMT_72	0.621163658364075
CRC	H3K9me3	CEMT_72	-0.34650580362111
CRC	H3K27me3	CEMT_72	-0.466661429404204
CRC	H3K36me3	CEMT_72	-0.031165244088019
CRC	H3K27ac	CEMT_72	0.673659819608394
PTC	H3K4me1	CEMT_87	0.091848113914707
PTC	H3K4me3	CEMT_87	0.610144441256611
PTC	H3K9me3	CEMT_87	-0.266744090115675
PTC	H3K27me3	CEMT_87	-0.459779481571848
PTC	H3K36me3	CEMT_87	-0.0148263925934422
PTC	H3K27ac	CEMT_87	0.691953884898972
PTC	H3K4me1	CEMT_89	0.27114650367768
PTC	H3K4me3	CEMT_89	0.607394543140908
PTC	H3K9me3	CEMT_89	-0.18116615225677
PTC	H3K27me3	CEMT_89	-0.495329267499611
PTC	H3K36me3	CEMT_89	0.0146602418073514
PTC	H3K27ac	CEMT_89	0.693148318544519
PTC	H3K4me1	CEMT_91	0.307013783739677
PTC	H3K4me3	CEMT_91	0.594431809937939
PTC	H3K9me3	CEMT_91	-0.090334045589291
PTC	H3K27me3	CEMT_91	-0.477722646079129
PTC	H3K36me3	CEMT_91	-0.0569974239616319
PTC	H3K27ac	CEMT_91	0.65001615311519
PTC	H3K4me1	CEMT_86	0.135862829859946
PTC	H3K4me3	CEMT_86	0.637021403354316
PTC	H3K9me3	CEMT_86	-0.329826618597757
PTC	H3K27me3	CEMT_86	-0.448721254573487
PTC	H3K36me3	CEMT_86	-0.111849385285485
PTC	H3K27ac	CEMT_86	0.698854183777456
PTC	H3K4me1	CEMT_88	0.384323573097355
PTC	H3K4me3	CEMT_88	0.611507394638808
PTC	H3K9me3	CEMT_88	-0.0258329734954926
PTC	H3K27me3	CEMT_88	-0.502782641603954
PTC	H3K36me3	CEMT_88	-0.120598712470962
PTC	H3K27ac	CEMT_88	0.67445105436681
PTC	H3K4me1	CEMT_90	0.3260948120864
PTC	H3K4me3	CEMT_90	0.608107293200217
PTC	H3K9me3	CEMT_90	0.0706637984638021
PTC	H3K27me3	CEMT_90	-0.407833807201751
PTC	H3K36me3	CEMT_90	-0.0918755580945288
PTC	H3K27ac	CEMT_90	0.677265303407816
PTC	H3K4me1	CEMT_98	0.363143035419929
PTC	H3K4me3	CEMT_98	0.61329775306957
PTC	H3K9me3	CEMT_98	-0.37767239328754
PTC	H3K27me3	CEMT_98	-0.517037915951746
PTC	H3K36me3	CEMT_98	-0.398404189115321
PTC	H3K27ac	CEMT_98	0.670695183036952
