type	AUC	LogCo
CRC	0.46686924993611	8.6
CRC	0.475697993866599	8.7
CRC	0.480849092767697	8.8
CRC	0.488931127012522	8.9
CRC	0.458623498594429	9
CRC	0.456658893432149	9.1
CRC	0.441129727830309	9.2
CRC	0.427780794786609	9.3
CRC	0.434589030155891	9.4
CRC	0.441181638129313	9.5
CRC	0.449599092767697	9.6
CRC	0.431817818809098	9.7
CRC	0.423763736263736	9.8
CRC	0.409811845131613	9.9
CRC	0.415557915921288	10
LGG	0.692935869974579	-2
LGG	0.692988831089351	-1.9
LGG	0.693044734488278	-1.8
LGG	0.693080041898126	-1.7
LGG	0.693165368138593	-1.6
LGG	0.693227156105828	-1.5
LGG	0.693306597777987	-1.4
LGG	0.693350732040298	-1.3
LGG	0.693509615384615	-1.2
LGG	0.693689094718011	-1.1
LGG	0.693830324357405	-1
LGG	0.694033341964033	-0.9
LGG	0.694283436117126	-0.8
LGG	0.694501165144525	-0.7
LGG	0.694810104980699	-0.6
LGG	0.694936623199322	-0.5
LGG	0.695266159024574	-0.4
LGG	0.695528022314283	-0.3
LGG	0.6957957701723	-0.2
LGG	0.696113536860936	-0.1
LGG	0.696469553243574	0
LGG	0.696860877036061	0.1
LGG	0.697361065342246	0.2
LGG	0.697908330194897	0.3
LGG	0.698632132096789	0.4
LGG	0.699120551266359	0.5
LGG	0.699791392053479	0.6
LGG	0.700332772337821	0.7
LGG	0.700921229168628	0.8
LGG	0.70158618538744	0.9
LGG	0.702351179267489	1
LGG	0.70327799877601	1.1
LGG	0.704004742962056	1.2
LGG	0.704760909989643	1.3
LGG	0.705614172394313	1.4
LGG	0.706432127389135	1.5
LGG	0.707164756143489	1.6
LGG	0.707717905564448	1.7
LGG	0.708621186799736	1.8
LGG	0.709665697674419	1.9
LGG	0.710824957631108	2
LGG	0.712449098484135	2.1
LGG	0.714608735053196	2.2
LGG	0.717177349119668	2.3
LGG	0.719931327087845	2.4
LGG	0.722864784389417	2.5
LGG	0.72648379389888	2.6
LGG	0.73012339939742	2.7
LGG	0.733495257037944	2.8
LGG	0.736419887487054	2.9
LGG	0.739438671029093	3
LGG	0.741539461915074	3.1
LGG	0.743298947839186	3.2
LGG	0.744617091140194	3.3
LGG	0.7453144124847	3.4
LGG	0.745764581960267	3.5
LGG	0.745991137840128	3.6
LGG	0.745526256943791	3.7
LGG	0.745187894266077	3.8
LGG	0.744876012145749	3.9
LGG	0.744955453817908	4
LGG	0.744331689577252	4.1
LGG	0.745220259391771	4.2
LGG	0.742021996516335	4.3
LGG	0.742839951511157	4.4
LGG	0.743543157423971	4.5
LGG	0.744725955653893	4.6
LGG	0.745220259391771	4.7
LGG	0.744705359664815	4.8
LGG	0.748259638922889	4.9
LGG	0.752387663590999	5
LGG	0.752425913285001	5.1
LGG	0.754444320214669	5.2
LGG	0.751663861689106	5.3
LGG	0.743757944167216	5.4
LGG	0.746856169381414	5.5
LGG	0.7497631461256	5.6
LGG	0.744002153752001	5.7
LGG	0.737084843705866	5.8
LGG	0.733974849355051	5.9
LGG	0.73608152480934	6
LGG	0.728102050183598	6.1
LGG	0.731612195179362	6.2
LGG	0.732621398644195	6.3
LGG	0.734310269748611	6.4
LGG	0.737743915356369	6.5
LGG	0.735919699180868	6.6
LGG	0.729243656435364	6.7
LGG	0.722035060257979	6.8
LGG	0.726810387439977	6.9
LGG	0.728972966293193	7
LGG	0.731938788720459	7.1
LGG	0.735590163355616	7.2
LGG	0.73981528340081	7.3
LGG	0.74311946850579	7.4
LGG	0.731044334337633	7.5
LGG	0.731941731004613	7.6
LGG	0.727263499199699	7.7
LGG	0.732141806327088	7.8
LGG	0.731020796064401	7.9
LGG	0.736749423312306	8
LGG	0.736261004142736	8.1
LGG	0.741636557292157	8.2
LGG	0.737523244044817	8.3
LGG	0.726728003483664	8.4
LGG	0.73094723896055	8.5
LGG	0.739126788908766	8.6
LGG	0.733615890688259	8.7
LGG	0.737790991902834	8.8
LGG	0.742545723095754	8.9
LGG	0.709359700122399	9
LGG	0.705455289049995	9.1
LGG	0.711331030505602	9.2
LGG	0.716430008944544	9.3
LGG	0.723179608793899	9.4
LGG	0.712528540156294	9.5
LGG	0.712955171358629	9.6
LGG	0.665207784106958	9.7
LGG	0.639695238207325	9.8
LGG	0.648051325204783	9.9
LGG	0.655686552584502	10
MSC	0.768379174120453	-2
MSC	0.768418306499702	-1.9
MSC	0.76847793679189	-1.8
MSC	0.768511478831246	-1.7
MSC	0.768586016696482	-1.6
MSC	0.768627012522361	-1.5
MSC	0.76872950208706	-1.4
MSC	0.768809630292189	-1.3
MSC	0.768951252236136	-1.2
MSC	0.769059332140728	-1.1
MSC	0.769133870005963	-1
MSC	0.769258720930233	-0.9
MSC	0.769351893261777	-0.8
MSC	0.769493515205725	-0.7
MSC	0.769683586762075	-0.6
MSC	0.769823345259392	-0.5
MSC	0.770037641621944	-0.4
MSC	0.77027988968396	-0.3
MSC	0.770494186046512	-0.2
MSC	0.770818425760286	-0.1
MSC	0.771051356589147	0
MSC	0.771355098389982	0.1
MSC	0.771738968395945	0.2
MSC	0.772066935002982	0.3
MSC	0.772499254621348	0.4
MSC	0.772925983899821	0.5
MSC	0.773479427549195	0.6
MSC	0.773995602265951	0.7
MSC	0.774619856887299	0.8
MSC	0.775212432915921	0.9
MSC	0.775900044722719	1
MSC	0.776598837209302	1.1
MSC	0.777290175909362	1.2
MSC	0.777946109123435	1.3
MSC	0.778989639236732	1.4
MSC	0.779926952892069	1.5
MSC	0.780996571258199	1.6
MSC	0.781952519379845	1.7
