id,dPC
358,-0.534944724308761
377,0.736994477789962
390,-0.253474220131613
398,0.602318205694763
403,-1.24206367959347
431,-4.08594602330707
439,-5.1453423080357
448,-2.6806802945879
451,-5.44450105269679
459,-3.97326681531754
468,-4.16495736751474
469,-3.46432333190914
475,-1.70798092741989
478,-3.80275344388559
484,-4.45172987002519
488,-3.93911024181284
498,-4.14119605597297
500,-4.01184189381793
502,-4.431470678494
505,-4.90557079062372
526,-3.29267975687892
529,-3.68918652220025
535,-2.3377233495155
540,-4.21752293177936
547,-3.28704910332985
550,-3.06499697617806
555,-0.8283118198133
558,-3.40435176320401
571,-4.31468416647739
572,-4.35523293471975
574,-5.03326530367687
575,-4.99981468866628
584,-2.40567589852215
587,-5.37252622774586
592,-6.20005739359694
593,-2.82964951551355
604,-3.77366392464668
605,-4.83005175373015
608,-2.91918869655088
621,-4.55151198496799
622,-5.4687546200305
631,-5.13482675492
632,-4.82359276365346
634,-7.19295848821564
643,-4.46963171329382
645,-3.21847722311758
647,-5.86122150718035
648,-6.09733723518077
649,-3.9329331489269
654,-4.22905163498475
656,-2.44243990636572
668,-3.29082033860423
672,-2.97074627073251
679,-2.93944723353894
681,-3.67292395374785
683,-2.9005854463331
686,-3.52802601477145
704,-1.82261668839878
721,-2.59932177039445
724,-3.73864646424416
738,-5.49870456237415
755,-1.53985606631095
756,-2.07518089086002
768,-5.74766369128628
772,-2.4009239758983
776,-3.56298457959046
784,-4.0218039187283
795,1.36481116395161
796,-0.158487159389795
797,-0.725214457334421
804,-2.7750920323435
805,-4.05512605436533
812,-0.429589592488355
813,-0.144284359689897
828,-0.675684139486638
830,0.278989984267526
839,-0.346008600165577
852,0.819248231149757
855,-3.26564292485871
856,-3.61621551098798
865,-2.37643380775518
866,-0.0635538242283129
868,0.512521377459917
877,1.56836812202726
880,-0.30593394762067
883,0.692009559529791
886,2.45314369547588
890,0.0862202162461568
893,-0.010894479902218
896,0.130471423516787
901,0.634828577258805
905,0.194065281305667
907,-2.29282188804769
910,1.94761892813709
911,-2.16284360598674
912,-3.67158693741507
920,-4.16452746545703
924,-4.44902605499007
926,-6.1186311848964
968,-0.35123799686763
976,-2.50534124852064
989,-4.92868902553405
990,-4.25031784338887
991,-4.78568628516108
1003,-4.57101133425272
1019,-4.36831809902556
1023,-3.76789773276934
1030,-4.78974222573036
1033,-3.96979016572739
1064,-3.40185553390292
1066,-3.17920927905472
1069,-3.859160314924
1073,-3.03431709253684
1080,-4.44708749829292
1081,-4.40128448703682
1090,-4.47308729955289
1094,-1.63899066407646
1104,-3.76797379188088
1112,-2.94262719694945
1117,-4.27223809451095
1122,-5.10725356775503
1157,-4.90403701544722
1162,-2.70468887484722
1172,-6.11463440478399
1173,-5.33673751081502
1200,-5.26049067537357
1204,-5.27593396751615
1214,-5.26595502163438
1216,-3.7781712789073
1229,-3.40757395430476
1230,-3.47406506730692
1231,-3.90910677145147
1239,-3.92009278217791
1244,-4.06324295775145
1254,-2.68036503224636
1258,-3.26399177223449
1260,-3.86467739186452
1283,-3.30088986504117
1287,-5.24084980324231
1315,-3.61730043893419
1354,-3.37251948073266
1434,-2.87388911628565
1435,-1.26096410999751
1493,-3.46871748362766
1686,-4.45880876822443
1758,-4.05294865865394
