id,dPC
358,0.10120553061392
383,0.71876189250313
403,-0.395031855764759
421,0.480184288717901
428,0.376411617726802
430,0.866939587609266
431,0.687186961177848
435,-0.151809182403345
437,-0.305111372724563
439,-0.600001345780397
448,0.11475802232016
451,-0.65216226698003
457,-0.538718466271962
459,-1.0228841679551
468,1.06133937377711
469,0.822714466834017
471,-0.412248047125899
475,0.341133582771952
478,-0.034350487209771
479,-0.407175918644212
481,-2.03035366446165
484,0.487655800933895
488,0.397795211988025
493,0.838360702802368
497,-0.671019682730821
500,-1.01446908510331
502,0.000440101641465258
505,0.694938483818958
508,0.0540372097328329
523,1.03275313455313
526,0.190831591022361
529,0.966670861966773
533,1.30048042500773
535,1.02174973911887
543,0.866124825069934
547,0.690003376389391
550,0.150760341912231
555,-0.063646214705819
558,-0.198630876228627
568,-0.269201735403996
571,0.505415949896886
572,0.438662439551134
574,-0.306845183888113
575,0.308320888794525
580,0.635230171651272
582,0.767469753002712
583,0.821018446773116
584,0.0575452573935362
587,-0.345869693050628
592,0.710937748451364
593,-0.461405523383928
604,-0.0428928298717229
605,0.39607155023843
608,0.000849262596211736
614,0.837035634672566
621,0.168291537607187
622,0.10723248653858
628,-0.798987990634842
631,-0.201011052495458
632,0.222465850770213
634,0.0143249837342034
637,-0.495862700854669
641,-0.145110354643397
643,0.269585994509822
647,0.0835372736652488
648,0.0919981600738736
649,-1.04542937845151
654,-0.502316488087222
656,-0.0250981333705332
668,0.0528473478769163
672,0.233687719336374
679,-0.311664042691149
681,-0.425390419481109
683,-0.0667975863575391
686,0.229633026658062
689,0.349515713062311
699,-0.784950049233438
704,0.288879835333768
721,-0.198173964528876
724,0.223958712053375
738,1.63423537724246
740,0.871065925487605
752,-0.153870756465309
755,0.175663488419015
756,0.206544222032218
757,1.43725480940786
768,0.925131906653586
772,-0.885703511117312
776,0.0391976121802087
781,0.414211153346335
784,0.937858284687936
794,1.27252169066292
795,0.0114076222510689
796,0.0845143029709928
805,0.979407944321289
806,1.22158284039575
812,-0.170409049541232
813,-0.0962246883208109
824,0.992899349698531
828,0.0751022422655996
830,-0.0293403526795716
839,-0.470923251270937
846,1.35829073365182
851,0.324476311850419
855,0.483064035740112
856,0.47537782546305
880,0.121742654017249
883,0.560117198902385
887,0.574874138448471
890,2.32448686863046
893,0.702119233889984
896,0.518638312727633
898,0.581806378413286
901,0.249796916430022
902,1.38876314019438
905,0.273380466398262
907,1.94736351923162
910,0.174473925227316
911,0.977390540464184
912,-0.0554176335664408
920,0.402355293044586
924,0.944715302115007
926,0.422484672949273
