id,dPC
358,-0.150585834049135
377,2.82548051146915
398,10.8931124629177
403,6.22240265379869
421,3.87291125975843
423,13.0617488477612
427,8.18331059362017
428,5.58560193826823
430,8.46357892069921
431,6.46251027325632
439,4.78605926330411
448,0.923555830889359
451,6.06306407589421
457,11.2188937696776
459,4.42058167392174
468,-3.85849402009469
469,-3.02766185298945
471,4.67359123604836
475,-8.19875719172417
478,0.475203829959266
479,-0.669030523886503
481,-7.00215663535057
484,-7.23837029775818
488,2.57383921392556
498,4.50988503500436
500,6.71289798436811
502,5.90009476470293
505,12.1927604091671
508,8.58244618487076
526,0.546330139267406
529,1.79622431934851
547,-9.17819837390405
555,11.8224328304789
558,12.1636289468776
571,5.75209871228062
572,5.89055965727997
575,4.96079512911381
584,-4.87402605852326
587,7.41740070339925
592,9.85831719862761
604,-2.89996387583671
605,-7.28300198483579
608,8.89391223973465
609,5.3696846761042
614,-2.46441362504638
618,-5.48918952567039
621,-10.9636515471513
622,-6.58904763627164
626,2.43513836124698
631,-3.88731613868045
632,1.76228285942182
634,3.80213262840722
641,-0.439897215952696
643,-2.31799363931855
645,-0.527178313018014
647,-2.94615697431677
648,-3.00850240592635
649,1.30424186474514
654,3.88999929098537
656,-7.31032299837311
668,-9.47103695277847
672,-5.99458242388317
679,-14.5206023655599
681,-14.2478653061564
683,-14.523390800889
686,-13.5648264435649
687,0.315059530690544
689,-7.18007819873749
704,-2.15400963321711
724,-0.467132956917759
738,-4.29294365486344
744,-6.61602661668283
752,-0.21961615144235
755,-11.7075529732932
756,-11.4574207593539
768,5.22628533490296
776,-11.2519349927697
781,8.5863495669264
784,10.7360197680685
795,15.0685661220648
796,-1.38745787852573
805,1.1101699758215
812,1.29570711088068
813,1.92380250606641
828,1.69357465772083
839,0.119960222958396
848,0.0649913971629612
855,-5.21897635518533
856,-5.06832126979507
861,-5.59390212030956
866,2.03371319603808
867,2.65481965401927
870,-6.39386068532796
877,3.77938853226896
880,1.15846248264634
883,-5.46601391222373
886,1.47991761181459
890,-5.39293861231049
893,-4.19228536816189
896,-6.95647764047822
898,-2.06701482809786
899,6.28307128652547
901,3.44453741903626
902,1.70539058225693
905,3.03141073905226
907,2.93787331901785
908,2.07637182307131
910,8.45519320824901
911,-0.934465189999923
912,-4.60824836226055
920,-3.46084532796365
924,4.67296782806302
926,2.02045474427284
938,5.65464285326569
946,0.609859102378069
968,5.87384595812338
976,3.644244501763
989,1.65034512656273
990,7.512542652362
991,6.85563522938594
1002,-1.14219800292474
1003,-12.8718514426633
1011,-12.4455023473404
1012,3.89803065246773
1019,2.67692985746965
1024,3.38851079773791
1030,-4.69398773371202
1033,-4.76638546698856
1053,0.355496943223438
1061,-11.5593582863602
1063,-6.2239649605112
1064,-8.4093405100877
1066,-3.69983393879482
1069,-3.0029284965353
1073,-13.5763695061652
1080,-9.53635889675513
