name
ARID3A
BMP4
CD9
CDH1
CDX1
CDX2
CGA
CGB
ELF5
EOMES
ESRRB
ETS2
FGF4
FGFR2
FURIN
GATA2
GATA3
GCM1
HAND1
ID2
IGFBP3
KRT7
MMP9
MSX2
SMARCA4
SOX2
TEAD4
TFAP2C
TFAP2C
