name
ARID1A
ARID1B
ATRX
BRAF
CIC
EGFR
FUBP1
IDH1
IDH2
NF1
NOTCH1
PDGFRA
PIK3CA
PIK3R1
PTEN
RB1
SOX9
TCF12
TP53
