name
ALCAM
ANPEP
CD44
CD70
DLK1
ENG
ETV1
ETV5
FOXP1
GATA4
GATA6
HMGA2
ITGA4
ITGB1
MYOD1
NANOG
NCAM1
NT5E
OCT4
PDGFRA
POU5F1
PPARG
RUNX2
SIM2
SOX11
SOX2
SOX4
SOX9
SPARC
THY1
VIM
