name
ABCG2
ASCL1
BMI1
CD133
CXCR4
FOXA2
FOXO1
FZD9
GAP43
GFAP
GLUT1
HES1
MAP2
MSI1
NES
NEUROD1
NFIX
NOTCH1
NTN1
OTX2
PAX3
PAX5
PAX6
PAX7
PAX8
S100B
SMARCA4
SOX1
SOX11
SOX2
SOX3
SOX4
SOX9
SYP
TCF12
VIM
