name
ARID1A
ATM
BCOR
BIRC3
BRAF
CHD2
CXCR4
DDX3X
EGR2
FBXW7
IRF4
MYD88
NOTCH1
PAX5
SAMHD1
SF3B1
SYK
TP53
XPO1
ZAP70
