dPC1	mark	type	x	y
19	H3K27ac	CLL	1	13
-19	H3K27ac	CLL	25	12
-19	H3K27ac	CLL	18	7
-19	H3K27ac	CLL	20	7
-19	H3K27ac	CLL	18	9
19	H3K27ac	CLL	6	23
-19	H3K27ac	CLL	13	1
-19	H3K27ac	CLL	19	12
19	H3K27ac	CLL	4	13
-19	H3K27ac	CLL	15	3
-19	H3K27ac	CLL	26	11
-19	H3K27ac	CLL	23	7
19	H3K27ac	CLL	7	22
-19	H3K27ac	CLL	25	15
19	H3K27ac	CLL	2	16
-19	H3K27ac	CLL	16	8
-19	H3K27ac	CLL	16	2
19	H3K27ac	CLL	9	25
-19	H3K27ac	CLL	22	9
19	H3K27ac	CLL	6	14
19	H3K27ac	CLL	4	11
-19	H3K27ac	CLL	21	13
19	H3K27ac	CLL	15	26
19	H3K27ac	CLL	0	10
-19	H3K27ac	CLL	17	2
19	H3K27ac	CLL	7	17
-19	H3K27ac	CLL	14	11
19	H3K27ac	CLL	16	27
-19	H3K27ac	CLL	21	6
-19	H3K27ac	CLL	19	10
-19	H3K27ac	CLL	21	8
-19	H3K27ac	CLL	22	14
19	H3K27ac	CLL	0	11
-19	H3K27ac	CLL	22	13
19	H3K27ac	CLL	11	27
19	H3K27ac	CLL	15	28
-19	H3K27ac	CLL	12	-1
19	H3K27ac	CLL	10	18
-18	H3K27ac	CLL	16	4
18	H3K27ac	CLL	11	22
18	H3K27ac	CLL	7	20
-18	H3K27ac	CLL	15	0
18	H3K27ac	CLL	6	16
18	H3K27ac	CLL	12	22
-18	H3K27ac	CLL	19	10
18	H3K27ac	CLL	6	22
-18	H3K27ac	CLL	18	8
18	H3K27ac	CLL	11	24
-18	H3K27ac	CLL	22	7
-18	H3K27ac	CLL	26	13
18	H3K27ac	CLL	15	27
-18	H3K27ac	CLL	22	8
-18	H3K27ac	CLL	18	13
18	H3K27ac	CLL	7	18
18	H3K27ac	CLL	8	21
18	H3K27ac	CLL	10	20
18	H3K27ac	CLL	5	21
-18	H3K27ac	CLL	22	17
18	H3K27ac	CLL	7	21
18	H3K27ac	CLL	6	19
18	H3K27ac	CLL	8	17
-18	H3K27ac	CLL	26	15
18	H3K27ac	CLL	10	22
18	H3K27ac	CLL	5	15
-18	H3K27ac	CLL	16	3
18	H3K27ac	CLL	4	15
18	H3K27ac	CLL	12	25
-18	H3K27ac	CLL	19	11
18	H3K27ac	CLL	9	22
18	H3K27ac	CLL	12	21
-18	H3K27ac	CLL	16	6
-18	H3K27ac	CLL	15	6
18	H3K27ac	CLL	8	22
-18	H3K27ac	CLL	13	1
18	H3K27ac	CLL	10	21
18	H3K27ac	CLL	5	16
18	H3K27ac	CLL	6	20
-18	H3K27ac	CLL	21	15
18	H3K27ac	CLL	14	26
-18	H3K27ac	CLL	21	13
18	H3K27ac	CLL	13	25
-18	H3K27ac	CLL	21	14
18	H3K27ac	CLL	9	23
18	H3K27ac	CLL	4	16
-18	H3K27ac	CLL	25	12
18	H3K27ac	CLL	11	23
-18	H3K27ac	CLL	23	9
18	H3K27ac	CLL	6	21
18	H3K27ac	CLL	8	24
-18	H3K27ac	CLL	18	6
18	H3K27ac	CLL	6	17
-18	H3K27ac	CLL	17	7
18	H3K27ac	CLL	8	20
18	H3K27ac	CLL	3	14
18	H3K27ac	CLL	7	24
18	H3K27ac	CLL	12	23
18	H3K27ac	CLL	14	25
-18	H3K27ac	CLL	20	10
18	H3K27ac	CLL	11	21
-18	H3K27ac	CLL	18	14
-18	H3K27ac	CLL	23	15
18	H3K27ac	CLL	13	26
18	H3K27ac	CLL	10	23
18	H3K27ac	CLL	12	24
18	H3K27ac	CLL	5	14
18	H3K27ac	CLL	9	20
18	H3K27ac	CLL	8	23
18	H3K27ac	CLL	9	21
18	H3K27ac	CLL	12	20
-18	H3K27ac	CLL	17	3
18	H3K27ac	CLL	13	29
-18	H3K27ac	CLL	26	12
-18	H3K27ac	CLL	16	5
-18	H3K27ac	CLL	21	12
18	H3K27ac	CLL	9	19
18	H3K27ac	CLL	11	25
-18	H3K27ac	CLL	20	11
18	H3K27ac	CLL	5	18
18	H3K27ac	CLL	10	24
-18	H3K27ac	CLL	13	-2
-18	H3K27ac	CLL	22	13
18	H3K27ac	CLL	7	19
18	H3K27ac	CLL	7	17
18	H3K27ac	CLL	9	18
-18	H3K27ac	CLL	14	-1
-18	H3K27ac	CLL	19	12
18	H3K27ac	CLL	11	20
18	H3K27ac	CLL	16	27
-18	H3K27ac	CLL	24	14
18	H3K27ac	CLL	10	18
18	H3K27ac	CLL	6	18
-18	H3K27ac	CLL	8	-4
-18	H3K27ac	CLL	21	9
-18	H3K27ac	CLL	23	13
18	H3K27ac	CLL	13	27
-18	H3K27ac	CLL	20	12
18	H3K27ac	CLL	10	25
18	H3K27ac	CLL	15	26
-18	H3K27ac	CLL	15	2
18	H3K27ac	CLL	15	28
18	H3K27ac	CLL	14	27
18	H3K27ac	CLL	18	28
18	H3K27ac	CLL	2	14
18	H3K27ac	CLL	17	29
18	H3K27ac	CLL	13	24
-18	H3K27ac	CLL	10	-2
-18	H3K27ac	CLL	24	10
-18	H3K27ac	CLL	15	4
-18	H3K27ac	CLL	23	10
-18	H3K27ac	CLL	21	6
18	H3K27ac	CLL	12	26
18	H3K27ac	CLL	8	19
-18	H3K27ac	CLL	14	1
-18	H3K27ac	CLL	17	4
18	H3K27ac	CLL	5	17
-18	H3K27ac	CLL	17	13
18	H3K27ac	CLL	10	16
18	H3K27ac	CLL	2	10
-18	H3K27ac	CLL	17	5
-18	H3K27ac	CLL	21	7
18	H3K27ac	CLL	16	28
-18	H3K27ac	CLL	23	11
-18	H3K27ac	CLL	24	13
-18	H3K27ac	CLL	31	17
-18	H3K27ac	CLL	16	8
18	H3K27ac	CLL	5	20
-18	H3K27ac	CLL	20	15
-18	H3K27ac	CLL	18	9
-18	H3K27ac	CLL	17	10
-18	H3K27ac	CLL	29	17
18	H3K27ac	CLL	15	25
-18	H3K27ac	CLL	14	5
-18	H3K27ac	CLL	22	10
18	H3K27ac	CLL	8	18
18	H3K27ac	CLL	0	10
-18	H3K27ac	CLL	15	5
18	H3K27ac	CLL	10	19
-18	H3K27ac	CLL	16	1
18	H3K27ac	CLL	12	27
-18	H3K27ac	CLL	19	5
-18	H3K27ac	CLL	24	11
-18	H3K27ac	CLL	19	3
18	H3K27ac	CLL	4	14
18	H3K27ac	CLL	5	19
-18	H3K27ac	CLL	14	0
-18	H3K27ac	CLL	25	11
-18	H3K27ac	CLL	24	12
-18	H3K27ac	CLL	19	2
18	H3K27ac	CLL	9	17
18	H3K27ac	CLL	0	11
-18	H3K27ac	CLL	24	9
-18	H3K27ac	CLL	12	-2
18	H3K27ac	CLL	1	14
18	H3K27ac	CLL	7	16
-18	H3K27ac	CLL	20	7
18	H3K27ac	CLL	4	13
-18	H3K27ac	CLL	21	8
-18	H3K27ac	CLL	18	5
-18	H3K27ac	CLL	18	10
-18	H3K27ac	CLL	15	10
-18	H3K27ac	CLL	18	7
-18	H3K27ac	CLL	13	3
-18	H3K27ac	CLL	19	7
-18	H3K27ac	CLL	19	6
18	H3K27ac	CLL	6	15
-18	H3K27ac	CLL	24	8
-18	H3K27ac	CLL	20	6
-18	H3K27ac	CLL	17	6
-18	H3K27ac	CLL	10	-4
-18	H3K27ac	CLL	14	2
-18	H3K27ac	CLL	27	11
-18	H3K27ac	CLL	22	15
-18	H3K27ac	CLL	15	3
18	H3K27ac	CLL	13	22
-18	H3K27ac	CLL	12	2
-18	H3K27ac	CLL	13	-1
-18	H3K27ac	CLL	20	13
-18	H3K27ac	CLL	14	3
-18	H3K27ac	CLL	26	14
18	H3K27ac	CLL	11	19
18	H3K27ac	CLL	6	14
18	H3K27ac	CLL	6	13
18	H3K27ac	CLL	4	18
-18	H3K27ac	CLL	28	14
-18	H3K27ac	CLL	20	9
18	H3K27ac	CLL	17	27
18	H3K27ac	CLL	14	28
18	H3K27ac	CLL	8	16
18	H3K27ac	CLL	4	17
18	H3K27ac	CLL	0	3
18	H3K27ac	CLL	16	26
18	H3K27ac	CLL	7	22
-18	H3K27ac	CLL	16	2
18	H3K27ac	CLL	9	16
-18	H3K27ac	CLL	20	8
-18	H3K27ac	CLL	16	7
-18	H3K27ac	CLL	19	4
-18	H3K27ac	CLL	15	1
-18	H3K27ac	CLL	18	4
-18	H3K27ac	CLL	21	16
18	H3K27ac	CLL	11	17
-18	H3K27ac	CLL	14	-4
-18	H3K27ac	CLL	23	7
18	H3K27ac	CLL	9	15
-18	H3K27ac	CLL	17	8
18	H3K27ac	CLL	13	23
-18	H3K27ac	CLL	25	14
-18	H3K27ac	CLL	27	14
18	H3K27ac	CLL	11	18
-18	H3K27ac	CLL	16	-2
-18	H3K27ac	CLL	18	12
18	H3K27ac	CLL	10	15
-18	H3K27ac	CLL	17	9
18	H3K27ac	CLL	7	13
-18	H3K27ac	CLL	24	21
18	H3K27ac	CLL	5	13
18	H3K27ac	CLL	3	11
-18	H3K27ac	CLL	24	17
-18	H3K27ac	CLL	13	-4
18	H3K27ac	CLL	14	29
18	H3K27ac	CLL	16	24
18	H3K27ac	CLL	7	15
-18	H3K27ac	CLL	18	11
-17	H3K27ac	CLL	18	5
-17	H3K27ac	CLL	16	3
17	H3K27ac	CLL	11	23
17	H3K27ac	CLL	8	21
17	H3K27ac	CLL	9	21
17	H3K27ac	CLL	10	22
17	H3K27ac	CLL	11	24
17	H3K27ac	CLL	4	16
-17	H3K27ac	CLL	22	8
-17	H3K27ac	CLL	15	5
-17	H3K27ac	CLL	16	5
-17	H3K27ac	CLL	18	10
17	H3K27ac	CLL	9	20
-17	H3K27ac	CLL	16	8
17	H3K27ac	CLL	5	16
17	H3K27ac	CLL	9	23
-17	H3K27ac	CLL	23	11
17	H3K27ac	CLL	10	21
17	H3K27ac	CLL	8	18
-17	H3K27ac	CLL	16	1
-17	H3K27ac	CLL	24	12
17	H3K27ac	CLL	13	21
-17	H3K27ac	CLL	14	3
17	H3K27ac	CLL	9	22
17	H3K27ac	CLL	8	20
-17	H3K27ac	CLL	20	5
-17	H3K27ac	CLL	27	12
-17	H3K27ac	CLL	14	4
17	H3K27ac	CLL	12	23
-17	H3K27ac	CLL	10	-3
-17	H3K27ac	CLL	18	4
17	H3K27ac	CLL	9	19
-17	H3K27ac	CLL	16	6
17	H3K27ac	CLL	7	18
17	H3K27ac	CLL	6	21
-17	H3K27ac	CLL	16	7
17	H3K27ac	CLL	13	27
-17	H3K27ac	CLL	15	1
17	H3K27ac	CLL	11	22
17	H3K27ac	CLL	10	25
-17	H3K27ac	CLL	15	4
17	H3K27ac	CLL	13	23
17	H3K27ac	CLL	14	24
-17	H3K27ac	CLL	22	13
-17	H3K27ac	CLL	25	14
-17	H3K27ac	CLL	19	7
17	H3K27ac	CLL	5	14
17	H3K27ac	CLL	6	16
17	H3K27ac	CLL	7	19
-17	H3K27ac	CLL	23	9
17	H3K27ac	CLL	13	24
17	H3K27ac	CLL	3	13
17	H3K27ac	CLL	12	21
17	H3K27ac	CLL	10	20
17	H3K27ac	CLL	6	22
17	H3K27ac	CLL	4	15
17	H3K27ac	CLL	12	24
17	H3K27ac	CLL	14	26
-17	H3K27ac	CLL	21	14
-17	H3K27ac	CLL	19	11
17	H3K27ac	CLL	4	17
-17	H3K27ac	CLL	17	9
17	H3K27ac	CLL	12	22
-17	H3K27ac	CLL	17	6
-17	H3K27ac	CLL	20	9
-17	H3K27ac	CLL	27	16
-17	H3K27ac	CLL	25	12
17	H3K27ac	CLL	6	20
-17	H3K27ac	CLL	22	10
-17	H3K27ac	CLL	13	-2
-17	H3K27ac	CLL	23	10
17	H3K27ac	CLL	0	8
-17	H3K27ac	CLL	21	6
17	H3K27ac	CLL	16	26
17	H3K27ac	CLL	12	26
-17	H3K27ac	CLL	25	13
-17	H3K27ac	CLL	16	2
-17	H3K27ac	CLL	17	8
17	H3K27ac	CLL	11	21
-17	H3K27ac	CLL	16	0
-17	H3K27ac	CLL	21	11
-17	H3K27ac	CLL	12	2
17	H3K27ac	CLL	9	18
-17	H3K27ac	CLL	17	11
17	H3K27ac	CLL	10	19
-17	H3K27ac	CLL	23	13
17	H3K27ac	CLL	13	25
17	H3K27ac	CLL	6	18
17	H3K27ac	CLL	7	17
17	H3K27ac	CLL	8	22
17	H3K27ac	CLL	4	14
-17	H3K27ac	CLL	23	12
-17	H3K27ac	CLL	24	15
-17	H3K27ac	CLL	20	7
17	H3K27ac	CLL	8	19
-17	H3K27ac	CLL	31	18
17	H3K27ac	CLL	0	12
-17	H3K27ac	CLL	21	10
-17	H3K27ac	CLL	20	15
17	H3K27ac	CLL	15	26
17	H3K27ac	CLL	7	13
-17	H3K27ac	CLL	19	5
17	H3K27ac	CLL	12	25
-17	H3K27ac	CLL	15	0
-17	H3K27ac	CLL	13	-1
17	H3K27ac	CLL	9	16
17	H3K27ac	CLL	16	27
-17	H3K27ac	CLL	16	4
17	H3K27ac	CLL	10	23
-17	H3K27ac	CLL	13	2
17	H3K27ac	CLL	7	20
-17	H3K27ac	CLL	18	6
17	H3K27ac	CLL	1	9
17	H3K27ac	CLL	6	15
17	H3K27ac	CLL	5	22
17	H3K27ac	CLL	11	20
-17	H3K27ac	CLL	17	2
-17	H3K27ac	CLL	21	7
-17	H3K27ac	CLL	18	11
-17	H3K27ac	CLL	17	5
-17	H3K27ac	CLL	19	16
17	H3K27ac	CLL	14	23
17	H3K27ac	CLL	11	19
-17	H3K27ac	CLL	18	9
17	H3K27ac	CLL	10	16
17	H3K27ac	CLL	9	24
-17	H3K27ac	CLL	26	17
-17	H3K27ac	CLL	21	8
-17	H3K27ac	CLL	17	7
17	H3K27ac	CLL	7	15
-17	H3K27ac	CLL	20	10
-17	H3K27ac	CLL	11	-2
-17	H3K27ac	CLL	19	8
17	H3K27ac	CLL	5	13
-17	H3K27ac	CLL	20	6
17	H3K27ac	CLL	14	27
17	H3K27ac	CLL	10	24
-17	H3K27ac	CLL	26	15
17	H3K27ac	CLL	16	28
-17	H3K27ac	CLL	19	13
-17	H3K27ac	CLL	22	9
-17	H3K27ac	CLL	16	9
17	H3K27ac	CLL	4	12
-17	H3K27ac	CLL	19	14
-17	H3K27ac	CLL	24	10
17	H3K27ac	CLL	8	17
17	H3K27ac	CLL	16	25
17	H3K27ac	CLL	11	25
17	H3K27ac	CLL	15	24
-17	H3K27ac	CLL	12	-1
-17	H3K27ac	CLL	12	-3
-17	H3K27ac	CLL	20	13
17	H3K27ac	CLL	6	17
-17	H3K27ac	CLL	15	6
-17	H3K27ac	CLL	15	7
17	H3K27ac	CLL	5	15
-17	H3K27ac	CLL	18	12
-17	H3K27ac	CLL	22	11
17	H3K27ac	CLL	17	26
-17	H3K27ac	CLL	21	15
-17	H3K27ac	CLL	19	3
-17	H3K27ac	CLL	23	5
-17	H3K27ac	CLL	18	8
-17	H3K27ac	CLL	14	2
-17	H3K27ac	CLL	19	10
17	H3K27ac	CLL	3	10
-17	H3K27ac	CLL	22	16
-17	H3K27ac	CLL	14	1
17	H3K27ac	CLL	4	13
-17	H3K27ac	CLL	10	-2
17	H3K27ac	CLL	5	17
-17	H3K27ac	CLL	20	8
17	H3K27ac	CLL	6	14
-17	H3K27ac	CLL	15	3
-17	H3K27ac	CLL	12	1
17	H3K27ac	CLL	11	16
-17	H3K27ac	CLL	14	0
-17	H3K27ac	CLL	22	18
-17	H3K27ac	CLL	13	3
17	H3K27ac	CLL	15	28
17	H3K27ac	CLL	15	25
-17	H3K27ac	CLL	14	9
-17	H3K27ac	CLL	23	16
17	H3K27ac	CLL	4	18
17	H3K27ac	CLL	18	28
17	H3K27ac	CLL	17	28
-17	H3K27ac	CLL	21	13
17	H3K27ac	CLL	0	9
17	H3K27ac	CLL	5	19
17	H3K27ac	CLL	7	14
17	H3K27ac	CLL	3	12
-17	H3K27ac	CLL	21	5
-17	H3K27ac	CLL	20	11
-17	H3K27ac	CLL	25	11
-17	H3K27ac	CLL	19	6
-17	H3K27ac	CLL	15	2
17	H3K27ac	CLL	9	17
-17	H3K27ac	CLL	20	12
17	H3K27ac	CLL	18	29
-17	H3K27ac	CLL	25	17
-17	H3K27ac	CLL	12	-4
17	H3K27ac	CLL	13	20
-17	H3K27ac	CLL	22	14
-17	H3K27ac	CLL	18	3
17	H3K27ac	CLL	7	21
-17	H3K27ac	CLL	17	10
17	H3K27ac	CLL	12	19
-17	H3K27ac	CLL	21	9
-17	H3K27ac	CLL	14	5
-17	H3K27ac	CLL	19	12
17	H3K27ac	CLL	3	16
-17	H3K27ac	CLL	25	15
-17	H3K27ac	CLL	24	17
17	H3K27ac	CLL	15	23
-17	H3K27ac	CLL	22	12
17	H3K27ac	CLL	5	11
17	H3K27ac	CLL	10	17
-17	H3K27ac	CLL	27	14
-17	H3K27ac	CLL	28	16
17	H3K27ac	CLL	7	16
17	H3K27ac	CLL	11	18
17	H3K27ac	CLL	14	25
-17	H3K27ac	CLL	13	0
-17	H3K27ac	CLL	22	7
-17	H3K27ac	CLL	22	15
17	H3K27ac	CLL	8	16
17	H3K27ac	CLL	2	9
-17	H3K27ac	CLL	18	13
17	H3K27ac	CLL	15	27
-17	H3K27ac	CLL	15	9
17	H3K27ac	CLL	0	7
17	H3K27ac	CLL	8	24
-17	H3K27ac	CLL	28	17
17	H3K27ac	CLL	10	18
-17	H3K27ac	CLL	23	15
-17	H3K27ac	CLL	18	7
-17	H3K27ac	CLL	11	-1
-17	H3K27ac	CLL	13	1
17	H3K27ac	CLL	17	27
-17	H3K27ac	CLL	19	9
-17	H3K27ac	CLL	17	3
16	H3K27ac	CLL	7	20
16	H3K27ac	CLL	7	17
-16	H3K27ac	CLL	18	1
-16	H3K27ac	CLL	17	5
16	H3K27ac	CLL	10	22
16	H3K27ac	CLL	9	19
16	H3K27ac	CLL	7	21
16	H3K27ac	CLL	12	27
-16	H3K27ac	CLL	16	9
16	H3K27ac	CLL	6	18
16	H3K27ac	CLL	13	23
16	H3K27ac	CLL	8	18
-16	H3K27ac	CLL	18	8
-16	H3K27ac	CLL	16	4
-16	H3K27ac	CLL	25	16
-16	H3K27ac	CLL	21	11
-16	H3K27ac	CLL	16	7
-16	H3K27ac	CLL	17	8
16	H3K27ac	CLL	12	23
16	H3K27ac	CLL	12	21
-16	H3K27ac	CLL	23	11
16	H3K27ac	CLL	8	17
16	H3K27ac	CLL	10	21
16	H3K27ac	CLL	6	17
-16	H3K27ac	CLL	27	10
-16	H3K27ac	CLL	25	15
16	H3K27ac	CLL	11	22
16	H3K27ac	CLL	11	20
-16	H3K27ac	CLL	14	8
16	H3K27ac	CLL	15	26
16	H3K27ac	CLL	9	21
16	H3K27ac	CLL	9	24
16	H3K27ac	CLL	16	26
-16	H3K27ac	CLL	16	8
-16	H3K27ac	CLL	15	10
-16	H3K27ac	CLL	28	19
-16	H3K27ac	CLL	22	16
-16	H3K27ac	CLL	22	15
16	H3K27ac	CLL	6	20
16	H3K27ac	CLL	14	24
-16	H3K27ac	CLL	15	1
16	H3K27ac	CLL	10	20
-16	H3K27ac	CLL	18	12
-16	H3K27ac	CLL	15	6
16	H3K27ac	CLL	13	27
-16	H3K27ac	CLL	26	16
-16	H3K27ac	CLL	19	14
-16	H3K27ac	CLL	28	18
16	H3K27ac	CLL	12	26
-16	H3K27ac	CLL	20	18
-16	H3K27ac	CLL	15	2
-16	H3K27ac	CLL	20	9
16	H3K27ac	CLL	13	25
16	H3K27ac	CLL	12	24
-16	H3K27ac	CLL	14	2
16	H3K27ac	CLL	12	22
16	H3K27ac	CLL	11	21
16	H3K27ac	CLL	14	26
16	H3K27ac	CLL	8	21
-16	H3K27ac	CLL	22	10
-16	H3K27ac	CLL	20	16
-16	H3K27ac	CLL	19	7
16	H3K27ac	CLL	4	17
16	H3K27ac	CLL	10	24
-16	H3K27ac	CLL	21	15
16	H3K27ac	CLL	6	14
16	H3K27ac	CLL	11	23
16	H3K27ac	CLL	8	20
-16	H3K27ac	CLL	13	-2
-16	H3K27ac	CLL	16	11
-16	H3K27ac	CLL	23	10
-16	H3K27ac	CLL	18	5
-16	H3K27ac	CLL	17	11
16	H3K27ac	CLL	9	17
16	H3K27ac	CLL	13	22
-16	H3K27ac	CLL	16	3
-16	H3K27ac	CLL	19	8
16	H3K27ac	CLL	9	22
-16	H3K27ac	CLL	19	9
16	H3K27ac	CLL	16	27
16	H3K27ac	CLL	5	13
16	H3K27ac	CLL	13	24
16	H3K27ac	CLL	14	25
16	H3K27ac	CLL	19	29
-16	H3K27ac	CLL	14	0
-16	H3K27ac	CLL	19	2
-16	H3K27ac	CLL	19	13
-16	H3K27ac	CLL	18	6
16	H3K27ac	CLL	11	24
-16	H3K27ac	CLL	13	0
-16	H3K27ac	CLL	24	16
-16	H3K27ac	CLL	17	12
-16	H3K27ac	CLL	30	9
-16	H3K27ac	CLL	21	9
-16	H3K27ac	CLL	16	6
-16	H3K27ac	CLL	21	13
16	H3K27ac	CLL	5	15
-16	H3K27ac	CLL	26	17
-16	H3K27ac	CLL	14	-1
16	H3K27ac	CLL	7	19
-16	H3K27ac	CLL	18	9
-16	H3K27ac	CLL	17	4
16	H3K27ac	CLL	6	16
16	H3K27ac	CLL	11	19
16	H3K27ac	CLL	6	19
-16	H3K27ac	CLL	20	8
-16	H3K27ac	CLL	16	10
-16	H3K27ac	CLL	17	13
-16	H3K27ac	CLL	11	-2
-16	H3K27ac	CLL	16	2
-16	H3K27ac	CLL	19	10
-16	H3K27ac	CLL	24	19
-16	H3K27ac	CLL	20	6
16	H3K27ac	CLL	14	27
-16	H3K27ac	CLL	24	13
-16	H3K27ac	CLL	13	2
-16	H3K27ac	CLL	20	14
-16	H3K27ac	CLL	27	16
16	H3K27ac	CLL	7	23
-16	H3K27ac	CLL	20	12
-16	H3K27ac	CLL	24	9
16	H3K27ac	CLL	10	23
-16	H3K27ac	CLL	17	7
16	H3K27ac	CLL	9	23
-16	H3K27ac	CLL	17	2
16	H3K27ac	CLL	15	24
16	H3K27ac	CLL	4	13
16	H3K27ac	CLL	15	28
-16	H3K27ac	CLL	14	1
16	H3K27ac	CLL	15	25
-16	H3K27ac	CLL	19	12
16	H3K27ac	CLL	5	14
-16	H3K27ac	CLL	23	16
-16	H3K27ac	CLL	15	3
-16	H3K27ac	CLL	17	9
-16	H3K27ac	CLL	20	15
-16	H3K27ac	CLL	29	17
-16	H3K27ac	CLL	30	19
-16	H3K27ac	CLL	22	17
-16	H3K27ac	CLL	12	-4
16	H3K27ac	CLL	10	19
-16	H3K27ac	CLL	19	6
-16	H3K27ac	CLL	17	6
16	H3K27ac	CLL	14	22
16	H3K27ac	CLL	12	25
16	H3K27ac	CLL	15	27
-16	H3K27ac	CLL	15	4
-16	H3K27ac	CLL	25	14
16	H3K27ac	CLL	12	20
-16	H3K27ac	CLL	12	1
16	H3K27ac	CLL	10	25
-16	H3K27ac	CLL	18	7
-16	H3K27ac	CLL	21	6
-16	H3K27ac	CLL	18	11
-16	H3K27ac	CLL	21	8
16	H3K27ac	CLL	6	15
-16	H3K27ac	CLL	15	7
-16	H3K27ac	CLL	24	15
16	H3K27ac	CLL	8	19
-16	H3K27ac	CLL	20	10
-16	H3K27ac	CLL	20	17
16	H3K27ac	CLL	9	20
-16	H3K27ac	CLL	12	-1
16	H3K27ac	CLL	13	20
16	H3K27ac	CLL	8	22
16	H3K27ac	CLL	4	11
-16	H3K27ac	CLL	19	5
-16	H3K27ac	CLL	23	14
16	H3K27ac	CLL	7	16
16	H3K27ac	CLL	8	16
-16	H3K27ac	CLL	31	20
16	H3K27ac	CLL	7	22
-16	H3K27ac	CLL	20	7
-16	H3K27ac	CLL	9	0
16	H3K27ac	CLL	11	25
16	H3K27ac	CLL	12	17
16	H3K27ac	CLL	5	16
-16	H3K27ac	CLL	16	5
-16	H3K27ac	CLL	14	5
16	H3K27ac	CLL	13	21
-16	H3K27ac	CLL	24	14
-16	H3K27ac	CLL	12	2
-16	H3K27ac	CLL	21	14
16	H3K27ac	CLL	7	15
16	H3K27ac	CLL	19	28
-16	H3K27ac	CLL	13	1
-16	H3K27ac	CLL	25	11
16	H3K27ac	CLL	14	23
-16	H3K27ac	CLL	15	9
16	H3K27ac	CLL	9	18
-16	H3K27ac	CLL	25	13
-16	H3K27ac	CLL	15	11
-16	H3K27ac	CLL	18	13
16	H3K27ac	CLL	17	25
16	H3K27ac	CLL	11	18
16	H3K27ac	CLL	17	27
16	H3K27ac	CLL	12	19
16	H3K27ac	CLL	18	27
-16	H3K27ac	CLL	18	3
16	H3K27ac	CLL	6	12
16	H3K27ac	CLL	10	17
16	H3K27ac	CLL	8	15
-16	H3K27ac	CLL	20	13
-16	H3K27ac	CLL	14	-4
16	H3K27ac	CLL	15	23
-16	H3K27ac	CLL	12	0
-16	H3K27ac	CLL	22	13
-16	H3K27ac	CLL	26	20
-16	H3K27ac	CLL	27	18
-16	H3K27ac	CLL	22	12
-16	H3K27ac	CLL	21	12
-16	H3K27ac	CLL	21	16
-16	H3K27ac	CLL	36	20
-16	H3K27ac	CLL	15	-1
16	H3K27ac	CLL	7	18
-16	H3K27ac	CLL	28	17
-16	H3K27ac	CLL	18	10
-16	H3K27ac	CLL	25	12
16	H3K27ac	CLL	4	9
-16	H3K27ac	CLL	26	13
-16	H3K27ac	CLL	15	5
-16	H3K27ac	CLL	23	15
-16	H3K27ac	CLL	22	9
-16	H3K27ac	CLL	22	11
-16	H3K27ac	CLL	23	12
-16	H3K27ac	CLL	19	16
-16	H3K27ac	CLL	13	-1
-16	H3K27ac	CLL	26	15
16	H3K27ac	CLL	9	15
-16	H3K27ac	CLL	14	7
-16	H3K27ac	CLL	22	8
16	H3K27ac	CLL	4	15
-16	H3K27ac	CLL	14	9
-16	H3K27ac	CLL	24	11
16	H3K27ac	CLL	11	17
16	H3K27ac	CLL	16	25
16	H3K27ac	CLL	16	28
16	H3K27ac	CLL	3	19
-16	H3K27ac	CLL	23	13
-16	H3K27ac	CLL	23	6
16	H3K27ac	CLL	16	24
16	H3K27ac	CLL	5	20
-16	H3K27ac	CLL	14	3
-16	H3K27ac	CLL	31	19
16	H3K27ac	CLL	14	21
-16	H3K27ac	CLL	17	10
-16	H3K27ac	CLL	25	10
16	H3K27ac	CLL	13	26
-16	H3K27ac	CLL	24	12
-16	H3K27ac	CLL	25	17
16	H3K27ac	CLL	3	15
-16	H3K27ac	CLL	30	18
-16	H3K27ac	CLL	16	1
16	H3K27ac	CLL	17	26
-16	H3K27ac	CLL	26	14
16	H3K27ac	CLL	7	14
16	H3K27ac	CLL	21	29
-16	H3K27ac	CLL	15	12
-16	H3K27ac	CLL	14	-3
-16	H3K27ac	CLL	29	19
16	H3K27ac	CLL	3	11
-16	H3K27ac	CLL	26	10
-16	H3K27ac	CLL	17	3
-16	H3K27ac	CLL	13	3
-16	H3K27ac	CLL	12	3
-16	H3K27ac	CLL	22	7
-16	H3K27ac	CLL	11	0
16	H3K27ac	CLL	13	28
-16	H3K27ac	CLL	15	0
16	H3K27ac	CLL	18	26
-16	H3K27ac	CLL	11	4
16	H3K27ac	CLL	8	11
-16	H3K27ac	CLL	27	14
-16	H3K27ac	CLL	16	0
-16	H3K27ac	CLL	23	8
-16	H3K27ac	CLL	17	14
-16	H3K27ac	CLL	15	8
-16	H3K27ac	CLL	27	8
-15	H3K27ac	CLL	19	10
15	H3K27ac	CLL	7	14
15	H3K27ac	CLL	11	21
-15	H3K27ac	CLL	23	11
-15	H3K27ac	CLL	21	16
-15	H3K27ac	CLL	16	11
15	H3K27ac	CLL	15	25
-15	H3K27ac	CLL	16	5
-15	H3K27ac	CLL	22	15
-15	H3K27ac	CLL	15	2
-15	H3K27ac	CLL	19	8
15	H3K27ac	CLL	12	21
15	H3K27ac	CLL	7	17
